owner,name,balance,assets,debts,loans,age,currency,real
_1740841402842,SEVO,268697.25,"[{""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""_1740841402842"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}]",{},{},295,"{""symbol"": ""CAD"", ""prefix"": ""T"", ""seperator"": 44, ""delimiter"": 46}",F
__dau__,dau company,5000.0,"[{""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""__dau__"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""__dau__"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}]",{},{},14,"{""symbol"": ""\u20ac"", ""prefix"": ""T"", ""seperator"": 46, ""delimiter"": 44}",T
boogie152,Jugolinija,1422556.16,"[{""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""boogie152"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""boogie152"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}]",{},{},268,"{""symbol"": ""\u20ac"", ""prefix"": ""T"", ""seperator"": 46, ""delimiter"": 44}",T
_1740868497304,CHEEL,1095329.0,"[{""speed"": 2.5, ""type"": ""food"", ""ownedBy"": ""_1740868497304"", ""income"": 1250.0, ""expenses"": 2000.0, ""location"": ""industrial district""}, {""speed"": 2.5, ""type"": ""food"", ""ownedBy"": ""_1740868497304"", ""income"": 1250.0, ""expenses"": 2000.0, ""location"": ""industrial district""}, {""speed"": 0.25, ""type"": ""valuables"", ""ownedBy"": ""_1740868497304"", ""income"": 22500.0, ""expenses"": 3500.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""_1740868497304"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""speed"": 0.25, ""type"": ""valuables"", ""ownedBy"": ""_1740868497304"", ""income"": 22500.0, ""expenses"": 3500.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740868497304"", ""income"": 900.0, ""expenses"": 1080.0, ""location"": ""mostovod""}]",{},{},143,"{""symbol"": ""\u20ac"", ""prefix"": ""T"", ""seperator"": 46, ""delimiter"": 44}",F
tornadoteammrt,republica a.s.,12518.0,"[{""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""tornadoteammrt"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}]","{""_1740841402792"": 4458.960529355392}",{},10,"{""symbol"": ""kr"", ""prefix"": ""F"", ""seperator"": 32, ""delimiter"": 44}",T
_1740870110302,CeskoRail,541277.0,"[{""speed"": 2.5, ""type"": ""food"", ""ownedBy"": ""_1740870110302"", ""income"": 1250.0, ""expenses"": 2000.0, ""location"": ""industrial district""}, {""speed"": 0.25, ""type"": ""valuables"", ""ownedBy"": ""_1740870110302"", ""income"": 22500.0, ""expenses"": 3500.0, ""location"": ""industrial district""}, {""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""_1740870110302"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740870110302"", ""income"": 0.0, ""expenses"": 0.0, ""location"": ""industrial district""}]",{},{},126,"{""symbol"": ""\u20ac"", ""prefix"": ""T"", ""seperator"": 46, ""delimiter"": 44}",F
_1740870218494,Brazoil,322798.0,"[{""speed"": 0.125, ""type"": ""ships"", ""ownedBy"": ""_1740870218494"", ""income"": 50000.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""speed"": 0.5, ""type"": ""millitary"", ""ownedBy"": ""_1740870218494"", ""income"": 12500.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740870218494"", ""value"": 2163, ""age"": 0}]",{},{},124,"{""symbol"": ""\u00a3"", ""prefix"": ""T"", ""seperator"": 44, ""delimiter"": 46}",F
_1740870918639,General Igenue,115785.0,"[{""speed"": 2.5, ""type"": ""food"", ""ownedBy"": ""_1740870918639"", ""income"": 1250.0, ""expenses"": 2000.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740870918639"", ""income"": 1250.0, ""expenses"": 500.0, ""location"": ""tungyo""}, {""ownedBy"": ""_1740870918639"", ""income"": 750.0, ""expenses"": 1050.0, ""location"": ""xnopyt""}, {""ownedBy"": ""_1740870918639"", ""value"": 4790, ""age"": 0}]",{},{},65,"{""symbol"": ""CAD"", ""prefix"": ""T"", ""seperator"": 44, ""delimiter"": 46}",F
_1740911310729,Designs Incorporated,52804.0,"[{""speed"": 1.0, ""type"": ""goods"", ""ownedBy"": ""_1740911310729"", ""income"": 2000.0, ""expenses"": 1000.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740911310729"", ""income"": 0.0, ""expenses"": 0.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740911310729"", ""value"": 3032, ""age"": 0}]",{},{},26,"{""symbol"": ""kr"", ""prefix"": ""F"", ""seperator"": 32, ""delimiter"": 44}",F
_1740911327975,General Igenue,50110.0,"[{""speed"": 0.5, ""type"": ""millitary"", ""ownedBy"": ""_1740911327975"", ""income"": 12500.0, ""expenses"": 5000.0, ""location"": ""industrial district""}, {""ownedBy"": ""_1740911327975"", ""value"": 847, ""age"": 0}]",{},{},24,"{""symbol"": ""\u00a3"", ""prefix"": ""T"", ""seperator"": 44, ""delimiter"": 46}",F
